id,name,services,beds,island,phone,address,lat,lng
15,LANAI COMMUNITY HOSPITAL,Licensed Beds,4,Lanai,Ph: (808) 565-8450,"628 7th Street Lanai City, Hawaii  96763","
20.82670892963548",-156.9180668530667
16,LEAHI HOSPITAL,Licensed Beds,4,Oahu,Ph: (808) 733-8000,"3675 Kilauea Avenue Honolulu, Hawaii  96816","
21.26842443415663",-157.7915108909736
17,MAUI MEMORIAL MEDICAL CENTER,Licensed Beds & Psychiatric Beds,219,Maui,Ph: (808) 244-9056,"221 Mahalani Street Wailuku, Hawaii  96793",20.882948032737772,-156.49190512304233
18,MOLOKAI GENERAL HOSPITAL,Licensed Beds,15,Molokai,Ph: (808) 553-5331,"280 Home Olu Place Kaunakakai, Hawaii  96748","
21.09186829806333",-157.01894023662982
19,NORTH HAWAII COMMUNITY HOSPITAL,Licensed Beds,35,Hawaii,Ph: (808) 885-4444,"67-1125 Mamalahoa Highway Kamuela, Hawaii  96743","
20.02457552369211",-155.66166375221184
20,PALI MOMI MEDICAL CENTER,Licensed Beds,118,Oahu,Ph: (808) 486-6000,"98-1079 Moanalua Road Aiea, Hawaii  96701",21.384009797972425,-157.93770917666674
21,REHABILITATION HOSPITAL OF THE PACIFIC,Licensed Beds,82,Oahu,Ph: (808) 531-3511,"226 North Kuakini Street Honolulu, Hawaii  96817",21.322199394898632,-157.85618113810057
22,SAMUEL MAHELONA  MEMORIAL HOSPITAL,Licensed Beds & Psychiatric Beds,14,Kauai,Ph: (808) 822-4961,"4800 Kawaihau Road Kapaa, Hawaii  96746",22.091830194353292,-159.31596515267046
23,SHRINERS HOSPITAL FOR  CHILDREN,Licensed Beds,24,Oahu,Ph: (808) 941-4466,"1310 Punahou Street Honolulu, Hawaii  96826",21.300880917875517,-157.83397887768308
24,STRAUB CLINIC AND HOSPITAL,Licensed Beds,159,Oahu,Ph: (808) 522-4000,"888 South King Street Honolulu, Hawaii 96813","
21.31055008497322",-157.86281449117345
25,THE QUEEN’S MEDICAL CENTER,Licensed Beds & Psychiatric Beds,535,Oahu,Ph: (808) 538-9011,"1301 Punchbowl Street Honolulu, Hawaii 96813","
21.30202760178142",-157.86307444145513
26,THE QUEEN’S MEDICAL CENTER – HALE PULAMA MAU - Kuakini Medical Center,Licensed Beds,40,Oahu,Ph: (808) 691-8731,"347 N. Kuakini Street, 7th Floor Honolulu, Hawaii 96817",21.3177742,-157.8808433
27,THE QUEEN’S MEDICAL CENTER – WEST OAHU,Licensed Beds,104,Oahu,Ph: (808) 691-3000,"91-2141 Fort Weaver Road Ewa Beach, Hawaii 96706","
21.37500590048194",-158.0263684600304
28,WAHIAWA GENERAL HOSPITAL,Licensed Beds & Psychiatric Beds,42,Oahu,Ph: (808) 621-8411,"128 Lehua Street Wahiawa, Hawaii  96786","
21.47427475005327",-158.02564038808154
29,WILCOX MEMORIAL HOSPITAL,Licensed Beds,72,Kauai,Ph: (808) 245-1100,"3-3420 Kuhio Highway Lihue, Hawaii  96766",22.004910979102018,-159.34639968980227
